lon,lat
185.8521987,-18.71468478
185.8536096,-18.70988795
185.8550204,-18.70509112
185.8564312,-18.7002943
185.8587752,-18.69593341
185.8615487,-18.69177315
185.8643222,-18.6876129
185.8670957,-18.68345265
185.8703082,-18.67974842
185.8745712,-18.67713561
185.8788342,-18.6745228
185.8830972,-18.67190999
185.8873602,-18.66929718
185.8921951,-18.66818863
185.8971172,-18.66730967
185.9020393,-18.66643072
185.9061603,-18.66427205
185.9091012,-18.66022837
185.912042,-18.65618469
185.9149829,-18.65214101
185.9179237,-18.64809733
185.9208029,-18.64401037
185.9236021,-18.63986742
185.9264014,-18.63572448
185.9292007,-18.63158153
185.932,-18.62743859
185.9347993,-18.62329564
185.9393427,-18.62121015
185.9438881,-18.61912687
185.9484334,-18.6170436
185.9532648,-18.61585375
185.9581748,-18.61490951
185.9630848,-18.61396527
185.9676983,-18.61219956
185.9720794,-18.60978997
185.9764605,-18.60738038
185.979882,-18.6038214
185.9830349,-18.59994083
185.9861879,-18.59606026
185.9893409,-18.59217969
185.9924938,-18.58829912
185.9932471,-18.58356658
185.9932471,-18.57856658
185.9943523,-18.57399869
185.9977437,-18.57032467
186.0013033,-18.56686458
186.0056741,-18.56443637
186.0100449,-18.56200815
186.0147579,-18.56048773
186.0196438,-18.55942558
186.0245297,-18.55836343
186.0293018,-18.55941231
186.0340452,-18.56099344
186.0388029,-18.56252327
186.0436838,-18.56360792
186.0485647,-18.56469257
186.0534457,-18.56577722
186.05841,-18.56623891
186.0634044,-18.56647674
186.0683546,-18.5669507
186.073098,-18.56853184
186.0773042,-18.57078704
186.079904,-18.57505803
186.0825037,-18.57932902
186.0851034,-18.58360001
186.085176,-18.58857968
186.085176,-18.59357968
186.085176,-18.59857968
186.0857424,-18.60340113
186.0886097,-18.60749729
186.0922827,-18.61081378
186.0962827,-18.61381378
186.1002827,-18.61681378
186.1020854,-18.62111479
186.1027925,-18.62606454
186.102383,-18.6310405
186.101909,-18.63601798
186.1006789,-18.64075572
186.0981982,-18.64509693
186.0951735,-18.6489886
186.0913772,-18.65224255
186.0881111,-18.65578335
186.0874644,-18.66074135
186.0868177,-18.66569935
186.0861611,-18.67065603
186.0854855,-18.67561018
186.08481,-18.68056433
186.0841699,-18.68552312
186.0835497,-18.69048451
186.0829295,-18.6954459
186.0823094,-18.70040729
186.0836668,-18.70504947
186.0858164,-18.70956377
186.0879661,-18.71407807
186.0879754,-18.71901393
186.087698,-18.72400623
186.0851828,-18.72799796
186.0816473,-18.73153349
186.0781118,-18.73506903
186.0745762,-18.73860456
186.070753,-18.74181583
186.0668214,-18.74490494
186.0633893,-18.74848701
186.060352,-18.7524588
186.0573148,-18.75643059
186.0551098,-18.76091286
186.0529462,-18.76542048
186.0507825,-18.7699281
186.0504306,-18.77466348
186.0514111,-18.77956638
186.0523917,-18.78446928
186.0519714,-18.78922347
186.0499833,-18.79381125
186.0479953,-18.79839903
186.0460073,-18.80298681
186.0439444,-18.80754067
186.041804,-18.81205936
186.0396636,-18.81657805
186.0375896,-18.82112759
186.0355206,-18.82567943
186.0334516,-18.83023126
186.0293786,-18.83311781
186.0252824,-18.83598512
186.0212175,-18.83887885
186.0190678,-18.84339315
186.0169181,-18.84790745
186.0152882,-18.85250267
186.0159638,-18.85745683
186.0166394,-18.86241098
186.0149405,-18.86623754
186.0106741,-18.86884479
186.0064077,-18.87145204
186.0015996,-18.87275154
185.9967392,-18.87392474
185.9918788,-18.87509794
185.9874788,-18.87487259
185.9842657,-18.87104164
185.9810526,-18.86721068
185.9778396,-18.86337972
185.9746265,-18.85954876
185.9721049,-18.85536153
185.9708501,-18.85052155
185.9695953,-18.84568157
185.9683404,-18.84084158
185.9644588,-18.83776223
185.9604588,-18.83476223
185.9564588,-18.83176223
185.951546,-18.83150085
185.946546,-18.83150085
185.941546,-18.83150085
185.936546,-18.83150085
185.931546,-18.83150085
185.926546,-18.83150085
185.921546,-18.83150085
185.9169012,-18.83095229
185.9148559,-18.82638975
185.9128106,-18.8218272
185.9107654,-18.81726465
185.9081672,-18.81318603
185.9039159,-18.81055425
185.8996645,-18.80792248
185.895318,-18.80547928
185.8906756,-18.80362233
185.8868889,-18.80096463
185.8853435,-18.79620946
185.8837981,-18.79145429
185.8822526,-18.78669912
185.8807072,-18.78194395
185.8793134,-18.77715581
185.8787457,-18.77218815
185.878178,-18.76722049
185.8776102,-18.76225282
185.8770425,-18.75728516
185.8741022,-18.75337243
185.8707941,-18.74962324
185.867486,-18.74587405
185.8641779,-18.74212486
185.8608698,-18.73837568
185.8579544,-18.73436588
185.8557853,-18.72986087
185.8536162,-18.72535586
185.8514472,-18.72085085
185.3311853,-18.80725407
185.3294545,-18.80261342
185.3310789,-18.79796656
185.3329843,-18.79338002
185.3348297,-18.78890619
185.3380698,-18.78535495
185.342529,-18.78322791
185.347414,-18.78323733
185.351654,-18.78163075
185.3562932,-18.78275832
185.3601058,-18.78597408
185.3643204,-18.78866426
185.368874,-18.79055473
185.3734388,-18.79252058
185.3762854,-18.79608709
185.3804579,-18.79884061
185.3806813,-18.80304009
185.378163,-18.80734784
185.3759569,-18.81182442
