lon,lat
168.1736979,-17.72092763
168.177028,-17.7172445
168.178913,-17.71266111
168.1781664,-17.70920963
168.1736643,-17.71116602
168.1688777,-17.71094125
168.1642282,-17.71270243
168.159564,-17.71437521
168.1561861,-17.71152168
168.1578875,-17.70706421
168.1605725,-17.70292021
168.1639956,-17.69934616
168.167552,-17.69646142
168.1711218,-17.69306702
168.1735468,-17.68870073
168.176462,-17.68468986
168.1791307,-17.68050279
168.1813659,-17.67614625
168.1832847,-17.67162548
168.1852005,-17.66706512
168.1855223,-17.66208523
168.1863331,-17.6571633
168.1879963,-17.65258274
168.1905528,-17.64848422
168.1915412,-17.6439042
168.1960718,-17.64179798
168.1991567,-17.63798349
168.2016405,-17.63367925
168.2057067,-17.63082278
168.2104192,-17.6298762
168.2149737,-17.62822205
168.2196407,-17.62679059
168.2240926,-17.62530521
168.2271944,-17.62174618
168.2261091,-17.6170332
168.2220321,-17.61505593
168.2171712,-17.6141417
168.2123902,-17.61267922
168.2076849,-17.61099715
168.2031188,-17.60898067
168.1987134,-17.60661597
168.1942873,-17.60430108
168.19116,-17.60174305
168.1941128,-17.59797443
168.1968222,-17.59384826
168.2004648,-17.59042314
168.2041445,-17.58704161
168.2061206,-17.58244865
168.2052345,-17.57811644
168.2056332,-17.57335103
168.2082864,-17.56915304
168.2113254,-17.56518349
168.2143501,-17.56120318
168.2173537,-17.55723129
168.2213168,-17.55418274
168.2255861,-17.55171977
168.2283346,-17.54804237
168.2277363,-17.5432775
168.2264855,-17.53843809
168.2264686,-17.53347355
168.2279114,-17.52883464
168.2317513,-17.52571542
168.2350731,-17.52197837
168.2389039,-17.51876933
168.2434064,-17.51675331
168.2482098,-17.51729255
168.2531101,-17.51817478
168.2580459,-17.51798219
168.2628729,-17.51670655
168.2670213,-17.51418664
168.2702069,-17.51039864
168.2741161,-17.5072812
168.2784613,-17.50499948
168.2833362,-17.50388768
168.2882211,-17.50406434
168.292745,-17.50612457
168.2964464,-17.5093494
168.2997096,-17.51313428
168.3033008,-17.51661326
168.3064206,-17.5205063
168.3109112,-17.52092676
168.3156412,-17.52005124
168.3205974,-17.52069478
168.3254663,-17.52183236
168.329368,-17.52431931
168.3310483,-17.52896336
168.3320696,-17.53385782
168.3343055,-17.53832056
168.3375824,-17.54209209
168.3418485,-17.54429071
168.3466861,-17.5432968
168.3513863,-17.54160795
168.3562416,-17.54044722
168.361196,-17.5397738
168.3661083,-17.53885668
168.3710103,-17.53787249
168.3759,-17.53683496
168.3807593,-17.53565696
168.3854983,-17.53407065
168.3899268,-17.53187098
168.3939075,-17.52884983
168.3976271,-17.52550849
168.3977121,-17.52060191
168.3968306,-17.51569722
168.3957308,-17.51081968
168.3946309,-17.50594215
168.3940277,-17.50099287
168.3931855,-17.49614841
168.3908692,-17.49171728
168.3868897,-17.48897963
168.3824176,-17.48674356
168.3775431,-17.48571969
168.3726214,-17.4848382
168.3677604,-17.48367362
168.3629097,-17.48246094
168.3582533,-17.4806956
168.3537108,-17.47860607
168.3495718,-17.47580342
168.3457944,-17.47259611
168.3425833,-17.4687635
168.3398983,-17.46454888
168.3372484,-17.46030889
168.334971,-17.45586732
168.3328726,-17.45132895
168.3307743,-17.44679058
168.328522,-17.44232876
168.3265188,-17.43775897
168.3239956,-17.43351352
168.3243572,-17.42941481
168.3259455,-17.42505608
168.3258469,-17.42060307
168.3291008,-17.41680679
168.3336534,-17.41484056
168.3384048,-17.41330177
168.343245,-17.41205607
168.3480413,-17.41148208
168.3519508,-17.4145498
168.3548015,-17.41857893
168.3567803,-17.42313575
168.3572199,-17.42809781
168.3595979,-17.43237779
168.3626972,-17.43629867
168.3655616,-17.44039495
168.368252,-17.44460741
168.3709031,-17.44884476
168.3737866,-17.4529296
168.3764002,-17.45719113
168.3794817,-17.46111467
168.3824219,-17.46515323
168.3852641,-17.46926688
168.3875711,-17.47368796
168.3897712,-17.47817753
168.3940205,-17.480509
168.3989466,-17.4813657
168.403791,-17.48258642
168.4078773,-17.4853949
168.4119703,-17.48825691
168.4162203,-17.49089079
168.4200595,-17.49381418
168.4213604,-17.49864171
168.420942,-17.50314812
168.4183855,-17.50742626
168.4187941,-17.51148225
168.4232155,-17.5137099
168.4277805,-17.51574427
168.4320851,-17.51828792
168.4363898,-17.52083157
168.4402554,-17.52397603
168.4440246,-17.52725996
168.447891,-17.53043036
168.4516898,-17.53367824
168.4550409,-17.53731947
168.4572857,-17.54177496
168.4585226,-17.54661955
168.4604955,-17.551174
168.4629845,-17.55550549
168.4658306,-17.55961645
168.4675607,-17.56425993
168.4696492,-17.56869528
168.4731282,-17.57228648
168.4763866,-17.57607807
168.4799635,-17.57956721
168.4835422,-17.58305706
168.4869809,-17.58668682
168.4904906,-17.59020435
168.4951476,-17.59202112
168.4993048,-17.59457423
168.5003897,-17.59938571
168.5013221,-17.60429677
168.50277,-17.60907963
168.5044707,-17.61378151
168.50478,-17.61870826
168.503186,-17.62344727
168.5048579,-17.6268636
168.5065178,-17.63150812
168.5074986,-17.63639146
168.5093071,-17.64035017
168.513361,-17.64296176
168.5178414,-17.64217448
168.5221082,-17.64473645
168.5242298,-17.64898926
168.5276895,-17.65252654
168.5314086,-17.65575578
168.5350741,-17.65909846
168.5386335,-17.66257048
168.5425153,-17.66570611
168.5458939,-17.66939188
168.5477554,-17.67388573
168.5469493,-17.67827844
168.5502704,-17.68175012
168.5551944,-17.68148279
168.5601448,-17.68208166
168.5644297,-17.68410142
168.5692391,-17.68445835
168.5742227,-17.68405427
168.5792115,-17.68374084
168.5842038,-17.68401819
168.5891478,-17.68475811
168.5938787,-17.68624026
168.5966377,-17.6901042
168.5950704,-17.69483023
168.5926407,-17.69919872
168.5902522,-17.70358839
168.5877501,-17.70791732
168.5852115,-17.71222468
168.5822702,-17.71625681
168.5796279,-17.72047547
168.5768284,-17.72460362
168.5738945,-17.72865224
168.5708729,-17.73263419
168.5679663,-17.73669309
168.564264,-17.7397957
168.5656944,-17.74360027
168.5671759,-17.7482326
168.5662752,-17.75293838
168.5645233,-17.7576161
168.5618665,-17.76159847
168.5606583,-17.76499813
168.5615984,-17.76989372
168.561749,-17.77486456
168.5610399,-17.77978951
168.5596125,-17.78458144
168.5575041,-17.78910408
168.5542656,-17.79266661
168.5500312,-17.79532545
168.5460851,-17.7983952
168.5414403,-17.80000903
168.5365928,-17.80123235
168.5317641,-17.80252964
168.5269396,-17.80384285
168.522122,-17.80518107
168.5172781,-17.806356
168.5122841,-17.8066016
168.5073701,-17.80626467
168.5033109,-17.8071803
168.5021847,-17.81184836
168.4997384,-17.81618267
168.4956699,-17.8186511
168.490672,-17.81872053
168.4856806,-17.81854452
168.4808641,-17.81726243
168.476335,-17.81542508
168.4713945,-17.81617769
168.4664164,-17.81661259
168.4615527,-17.81562813
168.456742,-17.81426559
168.4519462,-17.81505673
168.4472855,-17.81686712
168.4426073,-17.81862984
168.4383443,-17.82124265
168.4335734,-17.82269006
168.4286639,-17.82353174
168.4236872,-17.82401347
168.4187358,-17.82470842
168.413774,-17.82509724
168.4087872,-17.82473456
168.403912,-17.82546836
168.3990627,-17.82658943
168.3940663,-17.82677797
168.3890898,-17.8264828
168.3841258,-17.8258837
168.3799561,-17.82326347
168.3763452,-17.81996051
168.3745228,-17.81539827
168.3752535,-17.81046595
168.3765968,-17.8056498
168.3784162,-17.80104541
168.3773927,-17.79683856
168.3729482,-17.79479054
168.3691239,-17.79685917
168.3656829,-17.80047391
