SH, 32, 1997030306,   , BEST,   0, 162S, 1580E,  25
SH, 32, 1997030312,   , BEST,   0, 162S, 1579E,  25
SH, 32, 1997030318,   , BEST,   0, 162S, 1578E,  25
SH, 32, 1997030400,   , BEST,   0, 162S, 1577E,  25
SH, 32, 1997030406,   , BEST,   0, 162S, 1576E,  25
SH, 32, 1997030412,   , BEST,   0, 163S, 1575E,  25
SH, 32, 1997030418,   , BEST,   0, 164S, 1574E,  25
SH, 32, 1997030500,   , BEST,   0, 166S, 1574E,  25
SH, 32, 1997030506,   , BEST,   0, 168S, 1573E,  25
SH, 32, 1997030512,   , BEST,   0, 169S, 1571E,  25
SH, 32, 1997030518,   , BEST,   0, 171S, 1568E,  25
SH, 32, 1997030600,   , BEST,   0, 172S, 1561E,  30
SH, 32, 1997030606,   , BEST,   0, 171S, 1552E,  30
SH, 32, 1997030612,   , BEST,   0, 169S, 1546E,  35
SH, 32, 1997030618,   , BEST,   0, 169S, 1541E,  40
SH, 32, 1997030700,   , BEST,   0, 168S, 1535E,  45
SH, 32, 1997030706,   , BEST,   0, 168S, 1531E,  50
SH, 32, 1997030712,   , BEST,   0, 168S, 1528E,  50
SH, 32, 1997030718,   , BEST,   0, 168S, 1526E,  50
SH, 32, 1997030800,   , BEST,   0, 169S, 1523E,  50
SH, 32, 1997030806,   , BEST,   0, 170S, 1521E,  50
SH, 32, 1997030812,   , BEST,   0, 171S, 1519E,  50
SH, 32, 1997030818,   , BEST,   0, 171S, 1517E,  50
SH, 32, 1997030900,   , BEST,   0, 170S, 1516E,  50
SH, 32, 1997030906,   , BEST,   0, 169S, 1515E,  55
SH, 32, 1997030912,   , BEST,   0, 168S, 1514E,  55
SH, 32, 1997030918,   , BEST,   0, 168S, 1514E,  55
SH, 32, 1997031000,   , BEST,   0, 168S, 1514E,  55
SH, 32, 1997031006,   , BEST,   0, 167S, 1514E,  55
SH, 32, 1997031012,   , BEST,   0, 167S, 1514E,  55
SH, 32, 1997031018,   , BEST,   0, 167S, 1514E,  55
SH, 32, 1997031100,   , BEST,   0, 167S, 1514E,  55
SH, 32, 1997031106,   , BEST,   0, 166S, 1514E,  55
SH, 32, 1997031112,   , BEST,   0, 166S, 1514E,  55
SH, 32, 1997031118,   , BEST,   0, 166S, 1514E,  50
SH, 32, 1997031200,   , BEST,   0, 165S, 1515E,  45
SH, 32, 1997031206,   , BEST,   0, 163S, 1515E,  45
SH, 32, 1997031212,   , BEST,   0, 158S, 1515E,  45
SH, 32, 1997031218,   , BEST,   0, 151S, 1519E,  45
SH, 32, 1997031300,   , BEST,   0, 149S, 1525E,  45
SH, 32, 1997031306,   , BEST,   0, 147S, 1527E,  40
SH, 32, 1997031312,   , BEST,   0, 145S, 1527E,  40
SH, 32, 1997031318,   , BEST,   0, 142S, 1527E,  40
SH, 32, 1997031400,   , BEST,   0, 138S, 1527E,  35
SH, 32, 1997031406,   , BEST,   0, 133S, 1528E,  35
SH, 32, 1997031412,   , BEST,   0, 129S, 1531E,  45
SH, 32, 1997031418,   , BEST,   0, 125S, 1536E,  45
SH, 32, 1997031500,   , BEST,   0, 122S, 1541E,  45
SH, 32, 1997031506,   , BEST,   0, 119S, 1548E,  50
SH, 32, 1997031512,   , BEST,   0, 119S, 1553E,  55
SH, 32, 1997031518,   , BEST,   0, 119S, 1556E,  65
SH, 32, 1997031600,   , BEST,   0, 120S, 1558E,  65
SH, 32, 1997031606,   , BEST,   0, 121S, 1560E,  65
SH, 32, 1997031612,   , BEST,   0, 123S, 1561E,  70
SH, 32, 1997031618,   , BEST,   0, 124S, 1559E,  75
SH, 32, 1997031700,   , BEST,   0, 124S, 1557E,  70
SH, 32, 1997031706,   , BEST,   0, 123S, 1555E,  70
SH, 32, 1997031712,   , BEST,   0, 122S, 1554E,  75
SH, 32, 1997031718,   , BEST,   0, 120S, 1554E,  90
SH, 32, 1997031800,   , BEST,   0, 119S, 1554E,  90
SH, 32, 1997031806,   , BEST,   0, 119S, 1553E,  90
SH, 32, 1997031812,   , BEST,   0, 120S, 1548E,  90
SH, 32, 1997031818,   , BEST,   0, 121S, 1543E,  90
SH, 32, 1997031900,   , BEST,   0, 122S, 1537E,  90
SH, 32, 1997031906,   , BEST,   0, 125S, 1532E,  85
SH, 32, 1997031912,   , BEST,   0, 129S, 1527E,  75
SH, 32, 1997031918,   , BEST,   0, 135S, 1521E,  65
SH, 32, 1997032000,   , BEST,   0, 141S, 1514E,  55
SH, 32, 1997032006,   , BEST,   0, 146S, 1507E,  55
SH, 32, 1997032012,   , BEST,   0, 150S, 1499E,  50
SH, 32, 1997032018,   , BEST,   0, 152S, 1491E,  50
SH, 32, 1997032100,   , BEST,   0, 153S, 1484E,  50
SH, 32, 1997032106,   , BEST,   0, 155S, 1478E,  50
SH, 32, 1997032112,   , BEST,   0, 158S, 1473E,  50
